name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,1/1/2020,5,1.7,3.6,2.8,-2.8,-0.1,-4.3,56.8,0.768,100,4.17,rain,0,0,47.9,30.8,266.9,1008.2,69.7,16,41.4,3.6,2,,2020-01-01T07:20:08,2020-01-01T16:38:55,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/2/2020,8.9,0.7,4.8,7.7,-3.5,2,-2.5,60.2,0.929,100,12.5,rain,0,0,81.4,20.1,258,1013.8,4.4,16,84.7,7.5,4,,2020-01-02T07:20:14,2020-01-02T16:39:46,0.22,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/3/2020,8.4,6.7,7.6,7.4,4.9,6.2,5,83.9,0.686,100,50,rain,0,0,,11.1,257.9,1010.2,76.4,12.5,17.5,1.5,1,,2020-01-03T07:20:18,2020-01-03T16:40:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/4/2020,9.4,6.7,8.3,9.4,5.6,7.4,7.2,93.5,3.712,100,33.33,rain,0,0,45.6,11.1,294.3,1003.7,88.7,8.5,14.3,1.2,1,,2020-01-04T07:20:20,2020-01-04T16:41:32,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/5/2020,7.1,2.8,4.6,6.6,-0.5,2.5,-4.4,53,0,0,0,,1.9,0.6,66.4,15,298.6,1010.1,64,16,90.7,8.1,5,,2020-01-05T07:20:20,2020-01-05T16:42:27,0.36,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/6/2020,7.2,0.6,3.9,4.2,-3.5,0.5,-2,67.5,0.529,100,16.67,"rain,snow",1.2,2.2,83.2,23.8,256.8,1015.3,50.7,14.1,54.2,4.6,4,,2020-01-06T07:20:17,2020-01-06T16:43:23,0.4,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/7/2020,6.7,3.3,4.7,6.1,0.5,2.4,-3.4,56.8,0,0,0,,0,0.2,63,16.5,280.6,1016.2,21.7,15.7,51.7,4.5,2,,2020-01-07T07:20:12,2020-01-07T16:44:21,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/8/2020,6.6,-0.7,2.5,4.5,-3.8,-0.8,-4.8,61.3,0,0,0,,0,0,74.1,24.1,268.6,1016.5,33.7,15.3,79.8,7,4,,2020-01-08T07:20:05,2020-01-08T16:45:20,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/9/2020,2.1,-3.4,-0.6,0.7,-7.8,-3.7,-10.9,46.9,0,0,0,,0,0,65.9,14.4,267.2,1038.7,9.6,16,108.4,9.2,5,,2020-01-09T07:19:56,2020-01-09T16:46:21,0.49,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,1/10/2020,11.7,1.1,6.5,11.7,-2.9,4.3,1.8,72,0,0,0,,0,0,71.9,21.7,265.1,1034.4,61.5,16,52,4.7,3,,2020-01-10T07:19:44,2020-01-10T16:47:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
