Station Name;Lat;Lon
Ninth Street/Congress Street Station;40.749003329595300;-74.03850471474990
2nd Street Light Rail Station;40.74397919185350;-74.04309882413190
Journal Square;40.73564453030530;-74.06215326904680
Grove Street;40.7228961828899;-74.04275553384900
Newport (HBLR);40.72927066188640;-74.03691904715230
Newport (PATH);40.7300511683757;-74.03400080380390
Harsimus Cove Light Rail Station;40.72445733624080;-74.03743403127260
Harborside Light Rail Station;40.7223757903022;-74.03451578792420
Exchange Place(HBLR);40.71912324444860;-74.03485911067110
Exchange Place(PATH);40.719773766333800;-74.03245585144300
Essex Street;40.71469952703760;-74.03657572440540
Marin Boulevard;40.718472716206200;-74.0437855020896
Jersey Avenue Light Rail Station;40.7179522890352;-74.04807703642540
Liberty State Park;40.712877910899900;-74.0544285072424
Garfield Avenue;40.71378872519860;-74.07056467634500
MLK Drive Light Rail Station;40.71487604530760;-74.07731875211350
West Side Avenue;40.716718909870900;-74.08761630072930
Richard Street;40.701932296451200;-74.07843951394110
Danforth Avenue Light Rail Station;40.69451691759670;-74.08728339164800
