name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York,2020-01-01T00:00:00,5,0.9,-0.8,66.29,0,0,,0,0,33.7,22.1,261,1004.3,99.8,16,0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T01:00:00,4.4,0.5,-1.8,64.5,0,0,,0,0,38.9,18.2,270,1004.3,33.6,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T02:00:00,4.3,0.5,-1.3,66.99,0,0,,0,0,33.2,18.3,261,1004.7,87.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T03:00:00,3.9,-0.6,-1.8,66.76,0,0,,0,0,33.9,22.4,270,1005.1,29.3,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T04:00:00,3.9,0.9,-2.9,61.35,0,0,,0,0,30.2,11.7,253,1005.5,99.8,16,0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T05:00:00,3.8,1.4,-3.4,59.25,0,0,,0,0,33.1,9.6,270,1005.6,89.5,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T06:00:00,2.9,-2,-2.4,68.43,0,0,,0,0,36.9,23.4,260,1006.2,55.4,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T07:00:00,2.9,-2.8,-2.9,65.95,0.768,100,rain,0,0,38.8,30.8,269,1006.4,100,16,19.3,0.1,0,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T08:00:00,3.3,-1.3,-3.4,61.51,0,0,,0,0,31.7,21.9,270,1006.8,33,16,20,0.1,0,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T09:00:00,3.3,-1.3,-4,58.85,0,0,,0,0,35.6,22.2,270,1007.6,32.9,16,57,0.2,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T10:00:00,3.8,-0.1,-4.5,54.78,0,0,,0,0,37.3,18,270,1008.3,98.5,16,164,0.6,2,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T11:00:00,4.3,0.9,-5.1,50.31,0,0,,0,0,32.3,15.2,270,1008.1,28.8,16,241,0.9,2,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T12:00:00,4.3,0.6,-5.8,47.81,0,0,,0,0,39.2,17,280,1007.7,98,16,211,0.8,2,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T13:00:00,4.3,1.5,-5.7,48.06,0,0,,0,0,43.3,11.5,281,1007.3,100,16,89,0.3,1,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T14:00:00,4.3,2.2,-5.8,47.92,0,0,,0,0,47.9,8.4,290,1007.5,100,16,87,0.3,1,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T15:00:00,3.8,0,-5.8,49.63,0,0,,0,0,36.9,16.9,262,1008.3,100,16,68,0.2,1,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T16:00:00,3.8,-0.2,-5.7,49.67,0,0,,0,0,34.8,18.4,261,1009.1,99,16,30,0.1,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T17:00:00,3.8,-1,-5.1,52.09,0,0,,0,0,35.2,25.1,270,1010.2,98.9,16,7,0,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-01T18:00:00,3.4,-1,-5.7,51.46,0,0,,0,0,35.1,20.2,270,1010.7,99.6,16,0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T19:00:00,3.3,-0.6,-5.1,54,0,0,,0,0,33.4,16.7,261,1011.4,99.6,16,0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T20:00:00,2.8,-1.9,-5.7,53.32,0,0,,0,0,29.6,21.9,261,1012,88.1,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T21:00:00,2.8,2.8,-5.1,55.96,0,0,,0,0,40.7,1.1,347,1012.6,0.4,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T22:00:00,2.2,-1.3,-6.2,53.83,0,0,,0,0,,12.9,252,1013,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-01T23:00:00,1.7,-1.6,-6.2,55.66,0,0,,0,0,,11.4,260,1013,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T00:00:00,1.7,-1.5,-6.3,55.6,0,0,,0,0,27.7,11,260,1013.3,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T01:00:00,1.2,-2.1,-5.1,62.81,0,0,,0,0,,10.7,263,1013.4,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T02:00:00,0.7,-3.5,-4.5,68.18,0,0,,0,0,,14.7,259,1014.2,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T03:00:00,0.7,-3.1,-5.1,65.26,0,0,,0,0,,12.8,259,1014.4,0,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T04:00:00,0.7,-2.8,-4.5,68.38,0,0,,0,0,,11.1,249,1014.4,0.4,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T05:00:00,0.7,-3.2,-4.5,68.42,0,0,,0,0,,13,277,1014.8,0.4,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T06:00:00,0.7,-2.7,-4,70.87,0,0,,0,0,,11.1,240,1015.1,0.4,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T07:00:00,0.7,-2.3,-4,70.87,0,0,,0,0,,9.4,259,1015.7,0.4,16,26.8,0.1,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T08:00:00,0.7,-2.6,-4,70.75,0,0,,0,0,,10.6,253,1015.8,0.4,16,18,0.1,0,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T09:00:00,1.8,-0.9,-3.4,68.17,0,0,,0,0,,9.2,220,1016.1,0.6,16,83,0.3,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T10:00:00,3,0.8,-3.9,60.44,0,0,,0,0,81.4,7.9,237,1016.2,0.6,16,295,1.1,3,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T11:00:00,5.1,1.9,-2.3,59.04,0,0,,0,0,49.7,14.4,259,1015.6,0.4,16,418,1.5,4,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T12:00:00,7.2,3.9,-2.9,48.65,0.469,100,rain,0,0,72.9,19.9,278,1014.8,0.4,16,447,1.6,4,,Rain,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T13:00:00,8.3,6,-1.8,48.91,0,0,,0,0,29.5,14.2,272,1013.8,0.9,16,297,1.1,3,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T14:00:00,8.9,7.1,-1.8,47.1,0.23,100,rain,0,0,79.6,11.2,220,1013.5,0.9,16,221,0.8,2,,Rain,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T15:00:00,8.9,6,-1.8,47.01,0.23,100,rain,0,0,71,20.1,258,1013,1.5,16,153,0.6,2,,Rain,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T16:00:00,8.9,7.7,-1.3,48.93,0,0,,0,0,67.3,7.9,229,1012.7,1.7,16,59,0.2,1,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T17:00:00,8.4,5.7,-1.2,50.93,0,0,,0,0,65.5,16.5,277,1012.6,1.5,16,16,0.1,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2020-01-02T18:00:00,8.4,6.5,-0.1,55.27,0,0,,0,0,65.5,11.2,210,1012.6,0.9,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T19:00:00,8.4,6.5,0.6,58.06,0,0,,0,0,47,11.3,276,1012.3,0.9,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T20:00:00,7.9,6.3,0.6,59.91,0,0,,0,0,27.7,9.2,269,1012.2,0.9,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T21:00:00,7.3,5.2,0.6,62.6,0,0,,0,0,,11.1,268,1012.4,3.8,16,0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T22:00:00,7.3,5.2,0.6,62.82,0,0,,0,0,,10.9,269,1011.9,49.3,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-02T23:00:00,7.3,4.9,1.1,64.98,0,0,,0,0,,12.7,268,1011.5,38.4,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-03T00:00:00,7.3,5.5,1.1,64.99,0,0,,0,0,,9.3,269,1010.8,55.4,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-03T01:00:00,7.9,5.9,1.7,64.76,0,0,,0,0,,11,269,1010,33.5,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
New York,2020-01-03T02:00:00,7.9,5.9,2.1,66.9,0,0,,0,0,,11.1,240,1010.6,98.5,16,0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
